,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
91,In My Arms,spotify:track:5ODGweSsZ4FvvlPZVzV9Tk,808,spotify:album:1oy4EzCMZlGGwLcRQnidvT,ONEUS,spotify:artist:3CVYSpM7nfHFG5qCTW7Ht9,2019-12-18,17,211665
92,Happy Ending,spotify:track:29RpFeHrgO7cXLzAtXu51e,Happy Ending,spotify:album:2SrJI9UCeYzVXYripQVnbi,SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,2019-05-29,57,210613
93,MIDDLE OF THE NIGHT,spotify:track:2QqHAiFdDZKFJkr1xCV9dG,ALL ABOUT LUV,spotify:album:2O5KXxROQOR8WOdB8fgTCp,Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz,2020-02-13,65,166213
96,눈물이 주르륵 (G. Remix Version),spotify:track:4c2ItZFL0xrGFaRl9KgMkT,눈물이 주르륵,spotify:album:4RbpNZuK1m2Cyh5Yl9UbPN,Son Dam Bi,spotify:artist:3cCbcs6r1Lma7MfEjyfCGU,2012-11-12,8,203134
100,ROAR,spotify:track:7DWkKAq8wWZk6WMu6tdqe2,SF9 First Mini Album [Burning Sensation],spotify:album:3ZG2ZsqMl1Ew8w18XKkCKu,SF9,spotify:artist:7LOmc7gyMVMOWF8qwEdn2X,2017-02-06,37,187382
101,Downtown Baby,spotify:track:4lClRIDP56qlf5bWYe12TP,SHINee THE BEST FROM NOW ON,spotify:album:5Nzfxy8lIiRq9VRyYU53U1,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,2018-04-18,25,235293
104,Taming A Playboy,spotify:track:2iGJ5zkUTYEF5xLQ2Xn7jc,LOVE - The 3rd Album,spotify:album:0CCksGwhBwxJlwvpkjw7VR,S.E.S.,spotify:artist:61HUG80Xma4rnXsqfZkzeM,1999-10-29,6,212440
105,Touch,spotify:track:0tPwVRJupE4MTcwEPuaW3H,Hush,spotify:album:07ll9VGbFk71XTJBWqQVCm,miss A,spotify:artist:1BEohdSWSBggmO979tzRwW,2013-11-06,3,237652
106,OUTRO.,spotify:track:6m2gKXvkNELLUy1EjfsPfc,WAKE UP 通常盤,spotify:album:7bypIG17C3n1BlftyaSJdE,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2014-12-24,24,96493
107,Hate You,spotify:track:4sLSxBYzWbBhLNUeQcvY9F,Top Girl,spotify:album:4qKVlpwGhXJI8mOzBIE39h,G.NA,spotify:artist:3hzcooxMtbApMTvvn6XKVA,2011-08-23,18,233613
