,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
6171,RED,spotify:track:2ahhjxUyO74nC2CI62U0Ed,She is - The 1st Album,spotify:album:4Mqc9VJjX66n66tNzAhevq,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2016-05-24,38,194396
770,Happy Birthday,spotify:track:7nQUkU6u71MeidtkToaY4I,"JONGHYUN The Collection ""Story Op.1""",spotify:album:6tYoidZViVVzSXG4jKEmNd,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2015-09-17,38,171114
1097,Dress Up,spotify:track:6cOwlwa2cPz3yDekr8IXmb,She is - The 1st Album,spotify:album:4Mqc9VJjX66n66tNzAhevq,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2016-05-24,38,185768
4712,Experience,spotify:track:2xdc3ALRfyM0zNaHDk2xmL,ACE - The 1st Mini Album,spotify:album:1QQ0J1e6itmf2lufaeFfo5,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2014-08-19,38,193033
6007,U & I,spotify:track:0QAVlo4rbOzIDhhXMeMTNz,"JONGHYUN The Collection ""Story Op.1""",spotify:album:6tYoidZViVVzSXG4jKEmNd,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2015-09-17,38,171776
1971,Interview,spotify:track:2CPjRR7Gm4Yyc13dOv9NVd,CYAN,spotify:album:54mKbSh20yke318bPZMsjb,KANG DANIEL,spotify:artist:5vGoWnZO65NBgiZYBmi3iW,2020-03-24,38,201666
1021,와플 #Hashtag,spotify:track:4AN1cEqL7CQUfMOjKYCOQA,Poet | Artist,spotify:album:3KrFO9QDgfa4UAiqM6flTf,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2018-01-23,38,185067
3869,OUTRO. 신곡(神曲) (Divina Commedia),spotify:track:46D6LQo5pQtkLGa7wTdTnK,KWON JI YONG,spotify:album:2koSNfchdUxqw1rPJO87aH,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2017-06-08,38,224399
558,일인극 (MONO-Drama),spotify:track:3bB3FH1odcSz40WuLo0RQp,BASE - The 1st Mini Album,spotify:album:0iwA2BU9jnxT11qkxC0rEO,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2015-01-12,38,254293
2821,LOL,spotify:track:4E2OJhQOCyvwQM016gA7eV,Purpose - The 2nd Album Repackage,spotify:album:5IlYFprRPoMZ0qeNh6ghcs,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2020-01-15,38,196741
230,Cover up,spotify:track:25JsYHDRiRvxIddliGESTT,My Voice - The 1st Album,spotify:album:6DlCl3hBP1Gwhn0tgitGfN,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-02-28,38,205982
1574,Count On Me,spotify:track:6pIFMmh1D1OfeeIZXF0LA9,"Men Are Men (Original Television Soundtrack), Pt.1",spotify:album:0GbnNv3miXJx6Eq2MrxFIZ,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,2020-07-13,38,194733
1522,NAKED,spotify:track:64f7T9vidBqVHSUqZ1a3nq,WHITE NIGHT,spotify:album:4AE3KNhHuzlTURK6c77eaR,TAEYANG,spotify:artist:6udveWUgX4vu75FF0DTrXV,2017-08-16,38,201655
