,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
20,Last night,spotify:track:6XfSb8LT0fZVkJBgBEquZt,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,13,297433
14,"Sun, Moon, Star",spotify:track:6fJ5B0riPHOUehKUhXGdOy,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,13,218595
10,어머님이 누구니 (Who's your mama?) (Inst.),spotify:track:7HiRW59LTFDQwRtWagXxcD,24/34,spotify:album:1nu6x7zCj1VjrMVXLVBAwb,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/12/15,13,221122
107,Actually,spotify:track:3r6hcP23joXxeVUeTTjMWQ,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,12,210920
58,I Like a Woman Like This,spotify:track:1FwPUgYNEGhRn23XqLcfbU,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,12,277266
132,Blues of a Clown,spotify:track:4DudgAb9NjwtBYlDlUQjlA,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,12,216306
135,부산에 가면 (Sing the Road #03),spotify:track:494jOq0bR4MbbiiE7hgUUj,부산에 가면 (Sing the Road #03),spotify:album:7n2QauO2pMlAzlsRMVfbTn,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/22/15,12,218749
75,나는 배우다 Movie Star,spotify:track:6smGKNYFYB2xG2gmMrcJeN,나는 배우다 Movie Star,spotify:album:0lZpYXnfRmJeZsuNejXiyc,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,7/1/12,12,188973
0,Delicious (Your Lips),spotify:track:5CkAYc5Y3leBLK6Wd59It0,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,12,214786
146,Dangerous Play,spotify:track:3xxLEGAhXtBRNtmxIRDbSM,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,11/16/07,11,199613
158,Please,spotify:track:4sNRcLYCY6QuMIROAVPXk4,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/29/12,11,202199
76,뒹굴뒹굴 Mingle Mingle,spotify:track:4kUtoOKVAE9SOvPMVnM9jL,Halftime,spotify:album:0WD4C1F65xkn7nRSEvBZ9b,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,9/9/13,10,203719
