,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
12,방문을 닫으면 (Behind closed doors),spotify:track:3dpgxH3kAILx6hAPZ1Z8hg,24/34,spotify:album:1nu6x7zCj1VjrMVXLVBAwb,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,11,215955
13,사실은,spotify:track:3xqf3Cy3nSAz6OaHdz6CPR,Back To Stage,spotify:album:41h8n1l24t2dq0N2e5lsll,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,2,210920
14,"Sun, Moon, Star",spotify:track:6fJ5B0riPHOUehKUhXGdOy,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2001-06-07,13,218595
15,다른 사람 품에 안겨서 Someone Else (with Gain),spotify:track:5KmrnDZL033kPkOeov2yZP,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,19,199096
16,니 여자,spotify:track:4Lrw5apUQQ6uDFPuiTrFbW,Back To Stage,spotify:album:41h8n1l24t2dq0N2e5lsll,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,2,190346
17,그녀는 몰라요,spotify:track:26LtFNfsFtxVwIRLzOQUVA,Halftime,spotify:album:5p7fn6NyIiI1fhkh9mQlT0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,0,195948
18,그녀는 몰라요 She Doesn't Know,spotify:track:5IPhjUEIeqv7xRnfWJe4G6,Halftime,spotify:album:0WD4C1F65xkn7nRSEvBZ9b,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,10,195948
19,Delicious (니 입술이),spotify:track:4JzqsxxB2wHvbIPgcUVSsy,Back To Stage,spotify:album:0R52ET7vG1Hy7eGouTxCve,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,6,214786
20,Last night,spotify:track:6XfSb8LT0fZVkJBgBEquZt,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2001-06-07,13,297433
21,놀만큼 놀아봤어 Had Enough Parties,spotify:track:5TptQGaQyCqCMHbWCUj0iN,Halftime,spotify:album:0WD4C1F65xkn7nRSEvBZ9b,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,19,212820
22,Come Over,spotify:track:211JNvJNJKzIYtwLWTTwAS,Sad Freedom,spotify:album:0SxD8XFgG98lTQ1axhrmvR,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2009-12-01,8,298657
23,나는 배우다 Movie Star,spotify:track:2ieAT9QXkqQIN8zP2UWlMf,나는 배우다 Movie Star,spotify:album:6GT2NmuCBC4oac9O3CdXCq,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-07-01,8,188973
24,This small hand,spotify:track:0Lnyoo5XUVWpcaURx1oV8S,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2020-10-07,14,266106
25,FEVER Short Ver.,spotify:track:4SsA6ETQYZrxNQ532mWsCj,FEVER,spotify:album:1MPpUfkKBMbr1tGtC3mLxv,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-12-23,1,133925
26,놀만큼 놀아봤어 Had Enough Parties,spotify:track:1JdAYWqmhiOB0ZDwjZUlAZ,Halftime,spotify:album:6McpH5i1BG1DEcRxXDq432,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,7,212820
27,FEVER - Short Ver.,spotify:track:7K83CINdxtWgI28F367bXX,FEVER,spotify:album:53TALEgFIb2n7aVBIrfyf0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-12-23,26,133925
28,With the first met I met,spotify:track:2CjolE6nfcvq927yN8xiuk,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2001-06-07,14,232701
29,공항 가는 길 (Sing the Road #01),spotify:track:706LoVTCOrRthfLgmRtx8L,공항 가는 길 (Sing the Road #01),spotify:album:5BS3YgigDavmFlR63rJxPc,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-09-01,14,183484
30,사랑이 제일 낫더라 Greatest of These (with Namgung Songok & Gaeko),spotify:track:5JD0Ea9ugnjHVV8LRvQQct,Halftime,spotify:album:6McpH5i1BG1DEcRxXDq432,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,6,190440
